Specimen_Collection_Date,Specimen_Collection_Location,Specimen_Collection_Location_Country,Specimen_Collection_Location_Longitude,Gene_Symbol,Specimen_Collection_Location_Latitude
"",,Brazil,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,Iran,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,China,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
"",,,,blaCTX-M,
2014,UnknownXXX,United Kingdom,-3.2765753,blaCblA,54.7023545
"",,,,blaCepS,
"",,,,blaDES,
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDHA,
2015,,Taiwan,,blaDHA,
12/28/2015,Amiens,France,,blaDHA,
"",,,,blaDHA,
2012,UnknownXXX,Malaysia,112.8471939,blaDHA,2.3923759
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDHA,
"",,,,blaDIM,
"",,,,blaEBR,
"",,,,blaERP,
"",,,,blaESP,
"",,,,blaEXO,
"",,,,blaF,
"",,,,blaFAR,
"",,,,blaFEZ,
"",,,,blaFIM,
"",,,,blaFONA,
"",,,,blaFONA,
"",,,,blaFONA,
"",,,,blaFONA,
"",,,,blaFONA,
"",,,,blaFONA,
"",,,,blaFOX,
"",,,,blaFOX,
"",,,,blaFOX,
15-Oct-15,Barcelona,Spain,,blaFOX,
2007," Bern",Switzerland,7.44722,blaFOX,46.94917
"",,,,blaFOX,
"",,,,blaFOX,
16-Sep-2014," Vinhphuc Province",Viet Nam,,blaFOX,
"",,,,blaFOX,
"",,,,blaFOX,
"",,,,blaFOX,
"",,,,blaFRI,
"",,,,blaFRI,
22-Jul-16,,Germany,,blaFRI,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGES,
"",,,,blaGIM,
"",,,,blaGIM,
"",,,,blaGOB,
2008-01-29,UnknownXXX,United Kingdom,-3.2765753,blaGOB,54.7023545
"",,,,blaGOB,
"",,,,blaGOB,
"",,,,blaGOB,
"",,,,blaGOB,
"",,,,blaGOB,
2008-01-28,UnknownXXX,United Kingdom,-3.2765753,blaGOB,54.7023545
1990,UnknownXXX,Brazil,-53.2,blaGOB,-10.3333333
"",,,,blaGOB,
"",,,,blaGOB,
"",,,,blaGOB,
"",,,,blaGOB,
"",,,,blaGOB,
"",,,,blaGOB,
"",,,,blaGOB,
"",,,,blaGOB,
"",,,,blaHERA,
"",,,,blaHERA,
"",,,,blaHERA,
"",,,,blaHERA,
"",,,,blaHERA,
"",,,,blaHERA,
"",,,,blaHERA,
"",Northern Germany,Germany,,blaHMB,
"",,,,blaHUG,
"",,,,blaI,
"",,,,blaIMI,
"",,,,blaIMI,
"",,,,blaIMI,
"",,,,blaIMI,
"",,,,blaIMI,
"",,,,blaIMI,
"",,,,blaIMI,
2012,,Norway,,blaIMI,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
"",,,,blaIMP,
